date,symbol,rank,score_quote_vol,in_universe
2021-04-06,CRV-USDT,19,4155042733,1
2021-04-06,EGLD-USDT,20,4141095884,1
2021-04-06,NEO-USDT,21,3707938059,1
2021-04-06,ALGO-USDT,22,3392035944,1
2021-04-06,MANA-USDT,23,3221723974,1
2021-04-06,TRX-USDT,24,3095982094,1
2021-04-06,SOL-USDT,25,2977327250,1
2021-04-06,XTZ-USDT,26,2801613648,1
2021-04-06,KSM-USDT,27,2743936517,1
2021-04-06,IOTA-USDT,28,2643534848,1
2021-04-06,HBAR-USDT,29,2527498553,1
2021-04-06,ZIL-USDT,30,2329078447,1
2021-04-06,QTUM-USDT,31,2167712035,0
2021-04-06,SNX-USDT,32,1866092814,0
2021-04-06,NEAR-USDT,33,1790887739,0
2021-04-06,ADA-USDT,34,1544375086,0
2021-04-06,COMP-USDT,35,1301367292,0
2021-04-07,BTC-USDT,1,69192749024,1
2021-04-07,ETH-USDT,2,25537991406,1
2021-04-07,DOGE-USDT,3,16667913103,1
2021-04-07,DOT-USDT,4,15549076266,1
2021-04-07,OKB-USDT,5,15231983830,1
2021-04-07,BCH-USDT,6,14526457311,1
2021-04-07,LTC-USDT,7,11929685573,1
2021-04-07,UNI-USDT,8,11195171843,1
2021-04-07,FIL-USDT,9,9151011058,1
2021-04-07,LINK-USDT,10,8836933035,1
2021-04-07,XLM-USDT,11,8803235356,1
2021-04-07,XRP-USDT,12,7039422534,1
2021-04-07,THETA-USDT,13,6420347893,1
2021-04-07,AAVE-USDT,14,6319902619,1
2021-04-07,GRT-USDT,15,5413054204,1
2021-04-07,AVAX-USDT,16,4708097714,1
2021-04-07,ATOM-USDT,17,4676253591,1
2021-04-07,ETC-USDT,18,4397831046,1
2021-04-07,CRV-USDT,19,4205664701,1
2021-04-07,EGLD-USDT,20,4175023970,1
2021-04-07,NEO-USDT,21,3802733685,1
2021-04-07,ALGO-USDT,22,3422838847,1
2021-04-07,MANA-USDT,23,3232785600,1
2021-04-07,TRX-USDT,24,3225659396,1
2021-04-07,SOL-USDT,25,3113876658,1
2021-04-07,XTZ-USDT,26,2851273455,1
2021-04-07,KSM-USDT,27,2798353464,1
2021-04-07,IOTA-USDT,28,2667224061,1
2021-04-07,HBAR-USDT,29,2547535205,1
2021-04-07,QTUM-USDT,30,2367605916,1
2021-04-07,ZIL-USDT,31,2326731795,0
2021-04-07,SNX-USDT,32,1865247584,0
2021-04-07,NEAR-USDT,33,1821972014,0
2021-04-07,ADA-USDT,34,1562407391,0
2021-04-07,COMP-USDT,35,1311525695,0
2021-04-08,BTC-USDT,1,68324009807,1
2021-04-08,ETH-USDT,2,25086491608,1
2021-04-08,DOGE-USDT,3,16716831553,1
2021-04-08,DOT-USDT,4,15546304925,1
2021-04-08,OKB-USDT,5,15268942645,1
2021-04-08,BCH-USDT,6,14435654640,1
2021-04-08,LTC-USDT,7,11772282927,1
2021-04-08,UNI-USDT,8,11203360256,1
2021-04-08,FIL-USDT,9,9297558610,1
2021-04-08,LINK-USDT,10,8791227926,1
2021-04-08,XLM-USDT,11,8717811629,1
2021-04-08,XRP-USDT,12,7080609586,1
2021-04-08,THETA-USDT,13,6535082981,1
2021-04-08,AAVE-USDT,14,6329637867,1
2021-04-08,GRT-USDT,15,5414624577,1
2021-04-08,AVAX-USDT,16,4731831998,1
2021-04-08,ATOM-USDT,17,4692115651,1
2021-04-08,ETC-USDT,18,4465055955,1
2021-04-08,CRV-USDT,19,4221366641,1
2021-04-08,EGLD-USDT,20,4183214673,1
2021-04-08,NEO-USDT,21,3836651199,1
2021-04-08,ALGO-USDT,22,3429299283,1
2021-04-08,TRX-USDT,23,3301043146,1
2021-04-08,MANA-USDT,24,3238003804,1
2021-04-08,SOL-USDT,25,3162882388,1
2021-04-08,XTZ-USDT,26,2875805633,1
2021-04-08,KSM-USDT,27,2836453242,1
2021-04-08,IOTA-USDT,28,2715741876,1
2021-04-08,HBAR-USDT,29,2531732066,1
2021-04-08,QTUM-USDT,30,2446108399,1
2021-04-08,ZIL-USDT,31,2333109305,0
2021-04-08,SNX-USDT,32,1857602788,0
2021-04-08,NEAR-USDT,33,1841216258,0
2021-04-08,ADA-USDT,34,1564229588,0
2021-04-08,COMP-USDT,35,1318311187,0
2021-04-09,BTC-USDT,1,68079728513,1
2021-04-09,ETH-USDT,2,24930374241,1
2021-04-09,DOGE-USDT,3,16770369464,1
2021-04-09,DOT-USDT,4,15565717150,1
2021-04-09,OKB-USDT,5,15282862033,1
2021-04-09,BCH-USDT,6,14196719261,1
2021-04-09,LTC-USDT,7,11663246931,1
2021-04-09,UNI-USDT,8,11205905262,1
2021-04-09,FIL-USDT,9,9526497308,1
2021-04-09,LINK-USDT,10,8769235142,1
2021-04-09,XLM-USDT,11,8660228185,1
2021-04-09,XRP-USDT,12,7156807443,1
2021-04-09,THETA-USDT,13,6583933581,1
2021-04-09,AAVE-USDT,14,6333081541,1
2021-04-09,GRT-USDT,15,5415570404,1
2021-04-09,AVAX-USDT,16,4759292277,1
2021-04-09,ATOM-USDT,17,4702017935,1
2021-04-09,ETC-USDT,18,4442334557,1
2021-04-09,CRV-USDT,19,4230464442,1
2021-04-09,EGLD-USDT,20,4214916910,1
2021-04-09,NEO-USDT,21,3848274424,1
2021-04-09,ALGO-USDT,22,3442151706,1
2021-04-09,TRX-USDT,23,3324451368,1
2021-04-09,MANA-USDT,24,3289573991,1
2021-04-09,SOL-USDT,25,3207003464,1
2021-04-09,XTZ-USDT,26,2932216477,1
2021-04-09,KSM-USDT,27,2859653853,1
