pair,entry,exit,r,pct,bars_held,regime,fold,exit_reason
CRV-USDT,2022-10-25,2022-10-27,-0.548,-0.0264,11,range,2022-H2,signal
DOGE-USDT,2022-10-26,2022-11-02,18.541,0.7636,43,range,2022-H2,regime
UNI-USDT,2022-10-27,2022-10-28,-1.066,-0.0519,5,bull,2022-H2,stop
ATOM-USDT,2022-10-27,2022-10-27,-1.094,-0.0498,2,bull,2022-H2,stop
AVAX-USDT,2022-10-28,2022-10-30,0.600,0.0265,11,bull,2022-H2,stop
SHIB-USDT,2022-10-28,2022-11-02,1.355,0.1006,27,bull,2022-H2,regime
ETH-USDT,2022-10-29,2022-11-01,-0.582,-0.0286,15,bull,2022-H2,time
SAND-USDT,2022-10-30,2022-10-30,-1.069,-0.0652,1,bull,2022-H2,stop
AVAX-USDT,2022-10-31,2022-11-02,-1.069,-0.0532,9,bull,2022-H2,stop
ATOM-USDT,2022-11-04,2022-11-06,0.204,0.0117,14,bull,2022-H2,stop
ALGO-USDT,2022-11-04,2022-11-06,0.535,0.0364,15,bull,2022-H2,stop
LTC-USDT,2022-11-04,2022-11-06,0.573,0.0371,14,bull,2022-H2,stop
LINK-USDT,2022-11-05,2022-11-06,-1.041,-0.0737,11,bull,2022-H2,stop
SAND-USDT,2022-11-05,2022-11-06,-1.058,-0.0759,10,bull,2022-H2,stop
GRT-USDT,2022-11-05,2022-11-06,-1.035,-0.0858,5,bull,2022-H2,stop
LTC-USDT,2022-11-18,2022-11-18,-0.288,-0.0172,1,bear,2022-H2,regime
LINK-USDT,2022-11-23,2022-11-23,-0.336,-0.0205,2,bear,2022-H2,regime
SOL-USDT,2022-11-24,2022-11-26,0.261,0.0241,15,bear,2022-H2,time
XRP-USDT,2022-11-25,2022-11-26,-1.055,-0.0551,9,bear,2022-H2,stop
DOGE-USDT,2022-11-26,2022-11-28,0.379,0.0249,12,bear,2022-H2,regime
LINK-USDT,2022-11-26,2022-11-28,-1.057,-0.0569,8,bear,2022-H2,stop
DOGE-USDT,2022-11-30,2022-12-02,-1.031,-0.0909,11,bear,2022-H2,stop
AAVE-USDT,2022-11-30,2022-12-02,0.343,0.0176,15,bear,2022-H2,time
LINK-USDT,2022-11-30,2022-12-02,0.315,0.0176,15,bear,2022-H2,time
LTC-USDT,2022-11-30,2022-12-02,-0.443,-0.0306,15,bear,2022-H2,time
OP-USDT,2022-12-01,2022-12-03,0.104,0.0062,15,bear,2022-H2,time
UNI-USDT,2022-12-03,2022-12-05,0.036,0.0018,15,bear,2022-H2,time
AAVE-USDT,2022-12-05,2022-12-05,-1.105,-0.0398,2,bear,2022-H2,stop
DOGE-USDT,2022-12-05,2022-12-05,-1.047,-0.0627,1,bear,2022-H2,stop
SAND-USDT,2022-12-05,2022-12-07,-1.092,-0.0408,10,bear,2022-H2,stop
NEAR-USDT,2022-12-07,2022-12-07,-1.073,-0.0491,0,bear,2022-H2,stop
OP-USDT,2022-12-09,2022-12-11,-0.580,-0.0343,15,range,2022-H2,time
GRT-USDT,2022-12-09,2022-12-09,-1.115,-0.0521,2,range,2022-H2,stop
GRT-USDT,2022-12-10,2022-12-12,-1.050,-0.0520,10,bull,2022-H2,stop
TRX-USDT,2022-12-10,2022-12-11,-1.166,-0.0209,6,bull,2022-H2,stop
BTC-USDT,2022-12-13,2022-12-15,1.131,0.0165,12,bull,2022-H2,stop
ETH-USDT,2022-12-13,2022-12-15,-0.271,-0.0065,12,bull,2022-H2,stop
LTC-USDT,2022-12-13,2022-12-14,-1.098,-0.0451,6,bull,2022-H2,stop
OP-USDT,2022-12-13,2022-12-15,-1.078,-0.0671,13,bull,2022-H2,stop
LTC-USDT,2022-12-26,2022-12-27,0.245,0.0068,10,bear,2022-H2,regime
XRP-USDT,2022-12-26,2022-12-27,0.189,0.0044,5,bear,2022-H2,regime
ATOM-USDT,2022-12-27,2022-12-27,-0.199,-0.0049,1,bear,2022-H2,regime
FIL-USDT,2022-12-27,2022-12-27,-0.108,-0.0043,1,bear,2022-H2,regime
ATOM-USDT,2023-01-02,2023-01-03,0.623,0.0177,9,bear,2023-H1,regime
CRV-USDT,2023-01-02,2023-01-03,-0.580,-0.0190,9,bear,2023-H1,regime
LTC-USDT,2023-01-02,2023-01-03,0.029,0.0012,9,bear,2023-H1,regime
FIL-USDT,2023-01-02,2023-01-03,-1.101,-0.0427,7,bear,2023-H1,stop
SOL-USDT,2023-01-03,2023-01-03,1.026,0.0814,3,bear,2023-H1,regime
LTC-USDT,2023-01-04,2023-01-04,-1.107,-0.0432,3,bear,2023-H1,stop
ALGO-USDT,2023-01-04,2023-01-05,-1.126,-0.0398,10,bear,2023-H1,stop
ATOM-USDT,2023-01-04,2023-01-06,-1.135,-0.0394,12,bear,2023-H1,stop
OP-USDT,2023-01-04,2023-01-06,0.322,0.0132,15,bear,2023-H1,time
FIL-USDT,2023-01-04,2023-01-06,0.195,0.0096,15,bear,2023-H1,time
NEAR-USDT,2023-01-04,2023-01-06,-0.098,-0.0047,10,bear,2023-H1,stop
ETC-USDT,2023-01-04,2023-01-05,-1.079,-0.0530,6,bear,2023-H1,stop
ETC-USDT,2023-01-06,2023-01-11,-0.157,-0.0097,25,range,2023-H1,stop
OP-USDT,2023-01-06,2023-01-11,2.209,0.1213,29,range,2023-H1,stop
ALGO-USDT,2023-01-07,2023-01-10,0.636,0.0227,16,range,2023-H1,signal
GRT-USDT,2023-01-08,2023-01-10,0.677,0.0363,15,range,2023-H1,time
MANA-USDT,2023-01-08,2023-01-11,2.099,0.0975,14,range,2023-H1,stop
NEAR-USDT,2023-01-08,2023-01-11,-0.143,-0.0071,14,range,2023-H1,stop
NEAR-USDT,2023-01-12,2023-01-16,2.487,0.1675,27,bull,2023-H1,stop
OP-USDT,2023-01-12,2023-01-12,-1.050,-0.0875,2,bull,2023-H1,stop
OP-USDT,2023-01-12,2023-01-18,2.715,0.2576,33,bull,2023-H1,stop
MANA-USDT,2023-01-13,2023-01-18,5.774,0.3956,31,bull,2023-H1,stop
SAND-USDT,2023-01-13,2023-01-18,2.746,0.2042,32,bull,2023-H1,stop
CRV-USDT,2023-01-15,2023-01-24,2.924,0.2348,53,bull,2023-H1,stop
OP-USDT,2023-01-20,2023-01-22,1.619,0.1455,12,bull,2023-H1,stop
MANA-USDT,2023-01-21,2023-01-23,-0.080,-0.0074,15,bull,2023-H1,time
SOL-USDT,2023-01-21,2023-01-23,-0.444,-0.0375,15,bull,2023-H1,time
SAND-USDT,2023-01-21,2023-01-23,0.027,0.0022,15,bull,2023-H1,time
APT-USDT,2023-01-25,2023-01-28,2.067,0.2513,18,bull,2023-H1,stop
OP-USDT,2023-01-25,2023-01-27,-1.039,-0.1218,7,bull,2023-H1,stop
CRV-USDT,2023-01-28,2023-01-28,-1.051,-0.0797,3,bull,2023-H1,stop
DOGE-USDT,2023-01-31,2023-02-01,-1.043,-0.0708,4,bull,2023-H1,stop
ATOM-USDT,2023-02-01,2023-02-04,0.142,0.0079,15,bull,2023-H1,time
OP-USDT,2023-02-01,2023-02-05,2.406,0.2487,21,bull,2023-H1,stop
LTC-USDT,2023-02-02,2023-02-04,-0.303,-0.0165,15,bull,2023-H1,time
AVAX-USDT,2023-02-02,2023-02-02,-1.048,-0.0736,4,bull,2023-H1,stop
SHIB-USDT,2023-02-04,2023-02-05,0.287,0.0200,9,bull,2023-H1,regime
GRT-USDT,2023-02-04,2023-02-05,0.517,0.0353,5,bull,2023-H1,regime
MANA-USDT,2023-02-08,2023-02-08,-0.277,-0.0179,2,bull,2023-H1,regime
ATOM-USDT,2023-02-08,2023-02-08,-0.224,-0.0106,1,bull,2023-H1,regime
TRX-USDT,2023-02-15,2023-02-16,-0.818,-0.0237,8,range,2023-H1,stop
GRT-USDT,2023-02-15,2023-02-16,-1.039,-0.1010,7,range,2023-H1,stop
ALGO-USDT,2023-02-15,2023-02-17,0.158,0.0078,11,range,2023-H1,signal
ADA-USDT,2023-02-16,2023-02-16,-1.069,-0.0478,3,range,2023-H1,stop
LTC-USDT,2023-02-16,2023-02-16,-1.098,-0.0438,5,range,2023-H1,stop
APT-USDT,2023-02-16,2023-02-16,-1.053,-0.0792,4,range,2023-H1,stop
BTC-USDT,2023-02-16,2023-02-16,-1.085,-0.0328,1,range,2023-H1,stop
CRV-USDT,2023-02-17,2023-02-20,-0.260,-0.0212,15,range,2023-H1,time
DOT-USDT,2023-02-17,2023-02-20,0.249,0.0135,15,range,2023-H1,time
LINK-USDT,2023-02-18,2023-02-19,-0.758,-0.0394,7,bull,2023-H1,signal
SOL-USDT,2023-02-19,2023-02-19,-1.051,-0.0533,0,bull,2023-H1,stop
UNI-USDT,2023-02-19,2023-02-20,-1.089,-0.0528,2,bull,2023-H1,stop
SOL-USDT,2023-02-20,2023-02-22,-1.048,-0.0693,11,bull,2023-H1,stop
NEAR-USDT,2023-02-20,2023-02-21,-1.065,-0.0757,7,bull,2023-H1,stop
AVAX-USDT,2023-02-22,2023-02-22,-1.054,-0.0660,1,bull,2023-H1,stop
OP-USDT,2023-02-23,2023-02-23,-0.101,-0.0086,2,bull,2023-H1,regime
LTC-USDT,2023-03-01,2023-03-01,-0.361,-0.0116,3,bull,2023-H1,regime
XLM-USDT,2023-03-13,2023-03-14,0.514,0.0226,6,bear,2023-H1,signal
ADA-USDT,2023-03-13,2023-03-14,0.692,0.0362,10,bear,2023-H1,signal
CRV-USDT,2023-03-13,2023-03-15,-1.047,-0.0858,11,range,2023-H1,stop
APT-USDT,2023-03-13,2023-03-15,-0.321,-0.0314,12,range,2023-H1,stop
ATOM-USDT,2023-03-14,2023-03-15,-1.059,-0.0656,3,range,2023-H1,stop
OP-USDT,2023-03-18,2023-03-20,-0.763,-0.0884,15,range,2023-H1,time
GRT-USDT,2023-03-18,2023-03-18,-1.032,-0.1051,1,bull,2023-H1,stop
BTC-USDT,2023-03-19,2023-03-22,-0.173,-0.0080,15,bull,2023-H1,time
SOL-USDT,2023-03-20,2023-03-22,-1.041,-0.0815,14,bull,2023-H1,stop
ALGO-USDT,2023-03-22,2023-03-22,-1.062,-0.0666,1,bull,2023-H1,stop
BTC-USDT,2023-03-22,2023-03-22,-1.066,-0.0414,0,bull,2023-H1,stop
LTC-USDT,2023-03-23,2023-03-25,1.033,0.0687,12,bull,2023-H1,regime
XRP-USDT,2023-03-27,2023-03-27,-0.728,-0.0440,1,bull,2023-H1,regime
BTC-USDT,2023-03-29,2023-03-31,-0.428,-0.0149,12,bull,2023-H1,regime
XLM-USDT,2023-03-29,2023-03-31,0.813,0.0394,12,bull,2023-H1,regime
XRP-USDT,2023-03-29,2023-03-31,-0.646,-0.0459,12,bull,2023-H1,regime
ADA-USDT,2023-03-29,2023-03-30,-1.066,-0.0473,7,bull,2023-H1,stop
ALGO-USDT,2023-03-29,2023-03-31,-0.835,-0.0442,10,bull,2023-H1,regime
ADA-USDT,2023-03-31,2023-04-02,-1.058,-0.0477,13,bull,2023-H1,stop
LTC-USDT,2023-04-01,2023-04-03,-0.632,-0.0291,12,bull,2023-H1,regime
DOGE-USDT,2023-04-01,2023-04-02,-1.070,-0.0465,4,bull,2023-H1,stop
CRV-USDT,2023-04-05,2023-04-05,-1.088,-0.0482,2,bull,2023-H1,stop
GRT-USDT,2023-04-05,2023-04-05,-1.039,-0.0525,1,bull,2023-H1,stop
LTC-USDT,2023-04-10,2023-04-11,0.698,0.0184,3,bull,2023-H1,signal
FIL-USDT,2023-04-10,2023-04-12,-1.099,-0.0471,7,bull,2023-H1,stop
GRT-USDT,2023-04-11,2023-04-11,-0.816,-0.0326,1,bull,2023-H1,signal
AAVE-USDT,2023-04-11,2023-04-12,-1.129,-0.0377,5,bull,2023-H1,stop
CRV-USDT,2023-04-11,2023-04-12,-1.070,-0.0451,5,bull,2023-H1,stop
BTC-USDT,2023-04-11,2023-04-13,0.338,0.0082,15,bull,2023-H1,time
SOL-USDT,2023-04-11,2023-04-17,2.945,0.1046,37,bull,2023-H1,regime
APT-USDT,2023-04-11,2023-04-12,-1.107,-0.0454,2,bull,2023-H1,stop
NEAR-USDT,2023-04-12,2023-04-14,0.614,0.0280,13,bull,2023-H1,stop
ETC-USDT,2023-04-12,2023-04-14,0.384,0.0187,11,bull,2023-H1,signal
AVAX-USDT,2023-04-13,2023-04-15,0.920,0.0314,15,bull,2023-H1,signal
CRV-USDT,2023-04-13,2023-04-16,0.506,0.0218,18,bull,2023-H1,stop
OP-USDT,2023-04-13,2023-04-17,1.962,0.0903,19,bull,2023-H1,stop
GRT-USDT,2023-04-14,2023-04-17,0.153,0.0076,15,bull,2023-H1,time
NEAR-USDT,2023-04-15,2023-04-17,-0.760,-0.0418,12,bull,2023-H1,regime
FIL-USDT,2023-04-15,2023-04-17,-1.092,-0.0502,9,bull,2023-H1,stop
ATOM-USDT,2023-04-17,2023-04-17,-0.604,-0.0236,2,bull,2023-H1,regime
LINK-USDT,2023-04-18,2023-04-19,-0.812,-0.0386,5,bull,2023-H1,regime
BTC-USDT,2023-04-26,2023-04-26,-1.095,-0.0306,1,range,2023-H1,stop
LTC-USDT,2023-04-26,2023-04-26,-1.107,-0.0418,1,range,2023-H1,stop
SOL-USDT,2023-04-26,2023-04-26,-1.055,-0.0487,0,range,2023-H1,stop
ATOM-USDT,2023-04-27,2023-04-30,0.319,0.0165,15,range,2023-H1,time
SOL-USDT,2023-04-28,2023-05-01,-1.069,-0.0586,13,range,2023-H1,stop
TRX-USDT,2023-05-01,2023-05-01,0.430,0.0089,1,bear,2023-H1,regime
CRV-USDT,2023-05-04,2023-05-04,-1.093,-0.0460,3,bull,2023-H1,stop
BTC-USDT,2023-05-05,2023-05-06,-1.088,-0.0320,8,bull,2023-H1,stop
ETH-USDT,2023-05-05,2023-05-06,-1.091,-0.0301,5,bull,2023-H1,stop
TRX-USDT,2023-05-05,2023-05-06,-0.881,-0.0164,6,bull,2023-H1,regime
GRT-USDT,2023-05-15,2023-05-16,-0.629,-0.0311,2,bear,2023-H1,regime
LTC-USDT,2023-05-15,2023-05-16,-0.483,-0.0185,2,bear,2023-H1,regime
LTC-USDT,2023-05-16,2023-05-16,0.074,0.0029,1,bear,2023-H1,regime
UNI-USDT,2023-05-18,2023-05-18,-1.135,-0.0330,3,bear,2023-H1,stop
XRP-USDT,2023-05-18,2023-05-18,-0.491,-0.0202,2,bear,2023-H1,regime
CRV-USDT,2023-05-23,2023-05-24,-0.867,-0.0246,6,bear,2023-H1,regime
SHIB-USDT,2023-05-28,2023-05-29,-0.269,-0.0074,5,bear,2023-H1,signal
ETH-USDT,2023-05-28,2023-05-31,0.532,0.0099,18,bear,2023-H1,stop
SAND-USDT,2023-05-28,2023-05-29,-0.360,-0.0164,7,bear,2023-H1,signal
FIL-USDT,2023-05-28,2023-05-31,0.237,0.0053,17,bear,2023-H1,regime
AAVE-USDT,2023-05-29,2023-05-29,-1.154,-0.0306,3,range,2023-H1,stop
GRT-USDT,2023-05-29,2023-05-29,-0.366,-0.0127,1,bear,2023-H1,signal
XRP-USDT,2023-05-29,2023-05-31,1.892,0.0525,11,bear,2023-H1,regime
GRT-USDT,2023-05-31,2023-05-31,-0.213,-0.0099,1,bear,2023-H1,regime
XLM-USDT,2023-06-01,2023-06-01,-0.230,-0.0051,1,bear,2023-H1,regime
XRP-USDT,2023-06-13,2023-06-13,-1.064,-0.0490,0,bear,2023-H1,stop
BTC-USDT,2023-06-16,2023-06-19,-0.035,-0.0009,15,bear,2023-H1,time
BTC-USDT,2023-06-19,2023-06-26,5.054,0.1079,37,range,2023-H1,stop
OP-USDT,2023-06-20,2023-06-24,2.475,0.1246,21,range,2023-H1,stop
APT-USDT,2023-06-20,2023-06-24,0.024,0.0014,22,range,2023-H1,stop
FIL-USDT,2023-06-21,2023-06-23,0.618,0.0251,12,range,2023-H1,signal
UNI-USDT,2023-06-21,2023-06-23,0.578,0.0236,12,range,2023-H1,signal
SHIB-USDT,2023-06-22,2023-06-22,-1.074,-0.0531,1,range,2023-H1,stop
ETC-USDT,2023-06-23,2023-06-26,-0.491,-0.0265,15,bull,2023-H1,time
ALGO-USDT,2023-06-24,2023-06-26,-0.170,-0.0070,15,bull,2023-H1,time
NEAR-USDT,2023-06-24,2023-06-25,-0.678,-0.0310,9,bull,2023-H1,signal
MANA-USDT,2023-06-24,2023-06-25,-0.792,-0.0519,5,bull,2023-H1,signal
CRV-USDT,2023-06-25,2023-06-25,-0.840,-0.0429,3,bull,2023-H1,signal
UNI-USDT,2023-06-26,2023-06-28,-1.088,-0.0551,12,bull,2023-H1,stop
NEAR-USDT,2023-06-26,2023-06-26,-1.060,-0.0679,3,bull,2023-H1,stop
ARB-USDT,2023-06-27,2023-06-28,-1.062,-0.0675,8,bull,2023-H1,stop
XLM-USDT,2023-06-27,2023-06-28,2.367,0.0733,9,bull,2023-H1,regime
ETC-USDT,2023-06-30,2023-06-30,-1.074,-0.0687,2,bull,2023-H1,stop
LTC-USDT,2023-06-30,2023-06-30,-1.085,-0.0563,2,bull,2023-H1,stop
AAVE-USDT,2023-06-30,2023-06-30,-0.034,-0.0026,2,bull,2023-H1,regime
XLM-USDT,2023-06-30,2023-06-30,-1.060,-0.0610,0,bull,2023-H1,stop
AAVE-USDT,2023-07-02,2023-07-05,0.450,0.0333,18,bull,2023-H2,regime
CRV-USDT,2023-07-04,2023-07-05,-0.325,-0.0157,7,bull,2023-H2,regime
SOL-USDT,2023-07-06,2023-07-06,-1.057,-0.0557,0,bull,2023-H2,stop
SOL-USDT,2023-07-12,2023-07-12,-0.582,-0.0283,1,bull,2023-H2,regime
AAVE-USDT,2023-07-13,2023-07-14,0.427,0.0219,5,bull,2023-H2,signal
ADA-USDT,2023-07-13,2023-07-14,1.506,0.0538,7,bull,2023-H2,regime
CRV-USDT,2023-07-13,2023-07-14,-0.603,-0.0242,7,bull,2023-H2,regime
SOL-USDT,2023-07-13,2023-07-14,1.820,0.1158,7,bull,2023-H2,regime
AVAX-USDT,2023-07-14,2023-07-14,-1.069,-0.0456,3,bull,2023-H2,stop
OP-USDT,2023-07-23,2023-07-24,-0.687,-0.0386,2,bear,2023-H2,regime
BCH-USDT,2023-07-31,2023-07-31,-1.114,-0.0387,2,bear,2023-H2,stop
OP-USDT,2023-07-31,2023-07-31,-0.444,-0.0224,3,bear,2023-H2,regime
UNI-USDT,2023-07-31,2023-07-31,-0.009,-0.0003,3,bear,2023-H2,regime
UNI-USDT,2023-08-01,2023-08-02,-1.108,-0.0447,3,bear,2023-H2,stop
OP-USDT,2023-08-03,2023-08-04,-0.341,-0.0194,1,bear,2023-H2,regime
SHIB-USDT,2023-08-04,2023-08-04,-0.666,-0.0256,1,bear,2023-H2,regime
OP-USDT,2023-08-08,2023-08-08,-1.079,-0.0531,2,bear,2023-H2,stop
ALGO-USDT,2023-08-08,2023-08-10,-0.857,-0.0268,13,bear,2023-H2,stop
BTC-USDT,2023-08-08,2023-08-10,-0.373,-0.0047,13,bear,2023-H2,stop
ARB-USDT,2023-08-09,2023-08-11,-0.728,-0.0181,15,bear,2023-H2,time
SOL-USDT,2023-08-09,2023-08-12,-0.338,-0.0122,15,range,2023-H2,time
APT-USDT,2023-08-09,2023-08-11,-1.092,-0.0486,10,range,2023-H2,stop
SHIB-USDT,2023-08-10,2023-08-13,0.604,0.0355,19,bear,2023-H2,stop
ALGO-USDT,2023-08-13,2023-08-14,0.202,0.0046,6,bear,2023-H2,regime
LINK-USDT,2023-08-14,2023-08-14,-0.908,-0.0256,1,bear,2023-H2,regime
BCH-USDT,2023-08-28,2023-08-28,-0.703,-0.0215,1,bear,2023-H2,regime
DOGE-USDT,2023-08-29,2023-08-30,-1.073,-0.0345,5,bear,2023-H2,stop
BCH-USDT,2023-08-29,2023-08-31,0.308,0.0137,11,bear,2023-H2,stop
LTC-USDT,2023-08-29,2023-08-31,-1.122,-0.0374,10,bear,2023-H2,stop
NEAR-USDT,2023-08-29,2023-08-31,-1.146,-0.0449,10,bear,2023-H2,stop
BTC-USDT,2023-09-08,2023-09-08,-1.153,-0.0194,2,bear,2023-H2,stop
BCH-USDT,2023-09-08,2023-09-08,-0.831,-0.0261,2,bear,2023-H2,regime
XLM-USDT,2023-09-09,2023-09-10,-0.014,-0.0005,6,bear,2023-H2,regime
NEAR-USDT,2023-09-09,2023-09-10,-1.158,-0.0308,1,bear,2023-H2,stop
OP-USDT,2023-09-12,2023-09-14,0.342,0.0148,15,bear,2023-H2,time
BTC-USDT,2023-09-12,2023-09-15,0.582,0.0137,15,bear,2023-H2,time
TRX-USDT,2023-09-12,2023-09-18,2.780,0.0431,33,bear,2023-H2,stop
BCH-USDT,2023-09-12,2023-09-17,0.621,0.0306,25,bear,2023-H2,stop
FIL-USDT,2023-09-15,2023-09-17,0.442,0.0159,15,range,2023-H2,time
OP-USDT,2023-09-16,2023-09-17,-1.095,-0.0493,5,range,2023-H2,stop
AAVE-USDT,2023-09-16,2023-09-21,1.541,0.0678,33,range,2023-H2,regime
LINK-USDT,2023-09-18,2023-09-21,0.420,0.0146,19,range,2023-H2,stop
BCH-USDT,2023-09-18,2023-09-21,-0.505,-0.0242,15,range,2023-H2,time
ATOM-USDT,2023-09-18,2023-09-21,-0.114,-0.0045,15,range,2023-H2,time
LTC-USDT,2023-09-19,2023-09-20,-1.107,-0.0405,7,bull,2023-H2,stop
ALGO-USDT,2023-09-21,2023-09-21,-1.092,-0.0395,1,bull,2023-H2,stop
ARB-USDT,2023-09-27,2023-09-27,-1.149,-0.0331,0,bull,2023-H2,stop
BCH-USDT,2023-09-27,2023-09-27,-0.462,-0.0176,1,bull,2023-H2,regime
LINK-USDT,2023-09-27,2023-09-27,-0.213,-0.0086,1,bull,2023-H2,regime
BCH-USDT,2023-09-28,2023-09-29,-1.078,-0.0543,5,bull,2023-H2,stop
AAVE-USDT,2023-09-28,2023-10-03,1.869,0.0678,29,bull,2023-H2,stop
ARB-USDT,2023-09-28,2023-10-03,1.553,0.0561,29,bull,2023-H2,stop
LINK-USDT,2023-09-28,2023-10-01,0.228,0.0107,15,bull,2023-H2,time
SUI-USDT,2023-09-29,2023-09-30,-1.091,-0.0444,5,bull,2023-H2,stop
MANA-USDT,2023-09-30,2023-10-02,0.202,0.0067,15,bull,2023-H2,time
CRV-USDT,2023-09-30,2023-09-30,-1.128,-0.0428,1,bull,2023-H2,stop
ALGO-USDT,2023-09-30,2023-10-01,-0.250,-0.0082,3,bull,2023-H2,signal
SOL-USDT,2023-10-01,2023-10-04,-0.120,-0.0059,15,bull,2023-H2,stop
CRV-USDT,2023-10-02,2023-10-02,-1.110,-0.0452,3,bull,2023-H2,stop
BCH-USDT,2023-10-02,2023-10-03,-1.074,-0.0503,5,bull,2023-H2,stop
TRX-USDT,2023-10-04,2023-10-04,-1.142,-0.0238,0,bull,2023-H2,stop
XRP-USDT,2023-10-04,2023-10-04,-1.089,-0.0382,0,bull,2023-H2,stop
AVAX-USDT,2023-10-04,2023-10-08,1.270,0.0543,20,bull,2023-H2,stop
ALGO-USDT,2023-10-08,2023-10-09,-1.133,-0.0312,2,bull,2023-H2,stop
FIL-USDT,2023-10-16,2023-10-17,-1.215,-0.0224,8,bull,2023-H2,stop
LINK-USDT,2023-10-16,2023-10-17,-1.098,-0.0346,7,bull,2023-H2,stop
SHIB-USDT,2023-10-16,2023-10-17,-1.182,-0.0257,7,bull,2023-H2,stop
BTC-USDT,2023-10-16,2023-10-19,1.272,0.0196,16,bull,2023-H2,stop
TRX-USDT,2023-10-16,2023-10-22,2.617,0.0324,36,bull,2023-H2,stop
SOL-USDT,2023-10-16,2023-10-18,0.343,0.0104,14,bull,2023-H2,stop
SOL-USDT,2023-10-19,2023-11-03,8.709,0.3800,85,bull,2023-H2,stop
XRP-USDT,2023-10-20,2023-10-22,-0.330,-0.0096,15,bull,2023-H2,time
BCH-USDT,2023-10-20,2023-10-22,0.077,0.0032,16,bull,2023-H2,stop
BTC-USDT,2023-10-20,2023-10-27,4.910,0.1257,45,bull,2023-H2,stop
AAVE-USDT,2023-10-20,2023-10-26,4.388,0.1783,35,bull,2023-H2,stop
APT-USDT,2023-10-22,2023-10-25,0.446,0.0327,15,bull,2023-H2,time
LINK-USDT,2023-10-22,2023-11-01,2.710,0.1670,57,bull,2023-H2,stop
FIL-USDT,2023-10-23,2023-10-26,0.153,0.0070,15,bull,2023-H2,time
MANA-USDT,2023-10-26,2023-10-26,-1.050,-0.0694,1,bull,2023-H2,stop
DOGE-USDT,2023-10-26,2023-10-26,-1.043,-0.0640,0,bull,2023-H2,stop
AAVE-USDT,2023-10-29,2023-10-31,-1.078,-0.0570,11,bull,2023-H2,stop
MANA-USDT,2023-10-29,2023-10-31,-1.074,-0.0604,11,bull,2023-H2,stop
APT-USDT,2023-10-30,2023-11-02,0.517,0.0316,15,bull,2023-H2,time
GRT-USDT,2023-10-30,2023-10-31,-1.080,-0.0613,4,bull,2023-H2,stop
NEAR-USDT,2023-11-01,2023-11-03,1.880,0.0979,12,bull,2023-H2,regime
ALGO-USDT,2023-11-01,2023-11-03,-1.070,-0.0580,7,bull,2023-H2,stop
GRT-USDT,2023-11-01,2023-11-03,-1.052,-0.0708,7,bull,2023-H2,stop
ARB-USDT,2023-11-02,2023-11-02,-1.069,-0.0631,3,bull,2023-H2,stop
MANA-USDT,2023-11-02,2023-11-03,-0.750,-0.0475,8,bull,2023-H2,regime
ADA-USDT,2023-11-02,2023-11-03,-0.387,-0.0214,4,bull,2023-H2,regime
ARB-USDT,2023-11-03,2023-11-06,0.486,0.0332,15,bull,2023-H2,time
GRT-USDT,2023-11-05,2023-11-07,1.750,0.1184,14,bull,2023-H2,regime
ALGO-USDT,2023-11-05,2023-11-07,0.524,0.0252,13,bull,2023-H2,regime
NEAR-USDT,2023-11-05,2023-11-07,-1.069,-0.0707,9,bull,2023-H2,stop
XRP-USDT,2023-11-06,2023-11-07,-1.064,-0.0469,5,bull,2023-H2,stop
MANA-USDT,2023-11-06,2023-11-07,-0.274,-0.0158,7,bull,2023-H2,regime
AAVE-USDT,2023-11-06,2023-11-07,-0.114,-0.0080,6,bull,2023-H2,regime
SOL-USDT,2023-11-07,2023-11-09,-0.559,-0.0400,11,bull,2023-H2,stop
UNI-USDT,2023-11-08,2023-11-09,-1.064,-0.0616,7,bull,2023-H2,stop
SUI-USDT,2023-11-08,2023-11-09,-1.047,-0.0811,6,bull,2023-H2,stop
LINK-USDT,2023-11-08,2023-11-09,-1.047,-0.0711,5,bull,2023-H2,stop
ADA-USDT,2023-11-09,2023-11-09,-1.056,-0.0504,0,bull,2023-H2,stop
ETC-USDT,2023-11-10,2023-11-10,-0.220,-0.0151,5,bull,2023-H2,signal
ARB-USDT,2023-11-10,2023-11-11,-0.519,-0.0462,10,bull,2023-H2,signal
SOL-USDT,2023-11-10,2023-11-13,0.786,0.0704,18,bull,2023-H2,stop
AVAX-USDT,2023-11-10,2023-11-13,2.021,0.1565,18,bull,2023-H2,stop
SUI-USDT,2023-11-11,2023-11-13,0.169,0.0168,15,bull,2023-H2,time
CRV-USDT,2023-11-11,2023-11-13,-1.041,-0.0896,11,bull,2023-H2,stop
LINK-USDT,2023-11-11,2023-11-13,-1.034,-0.0907,11,bull,2023-H2,stop
MANA-USDT,2023-11-11,2023-11-12,-1.052,-0.0822,1,bull,2023-H2,stop
OP-USDT,2023-11-13,2023-11-14,-0.639,-0.0522,8,bull,2023-H2,regime
SUI-USDT,2023-11-13,2023-11-14,-1.032,-0.1034,4,bull,2023-H2,stop
SOL-USDT,2023-11-15,2023-11-16,-0.543,-0.0607,5,bull,2023-H2,regime
NEAR-USDT,2023-11-20,2023-11-21,-1.048,-0.0930,3,bull,2023-H2,stop
ALGO-USDT,2023-11-20,2023-11-21,-1.066,-0.0624,5,bull,2023-H2,stop
